id,name,num,stars_y,Comments
47,Nam Sandwich,4 ,4 ,4 
48,Fresh Off The Boat,4 ,4 ,4 
49,Chako,4 ,3 ,3 
50,Allwyn's Bakery,4 ,2 ,2 
51,Hapa Toronto,4 ,3 ,3 
52,Platito Filipino Soul Food,4 ,4 ,4 
53,Emerald Chinese Restaurant,41293 ,1 ,1 
54,Border MX Mexican Grill and Cantina,41293 ,4 ,4 
55,Jamaica House Kitchen,41293 ,2 ,2 
56,Sapore By Zafferano,41293 ,3 ,3 
57,SU&SHI Noodle Bar - Yorkdale,41293 ,5 ,5 
58,Buka Maranga,41293 ,5 ,5 
59,Drake A Firkin Pub,41293 ,3 ,3 
60,Wingporium,41293 ,3 ,3 
61,Vibo Restaurant,41293 ,5 ,5 
62,Chuck's Roadhouse Bar And Grill,41293 ,2 ,2 
63,Wok This Way,41293 ,5 ,5 
64,Emerald Chinese Restaurant,8867 ,3 ,3 
65,Summit Garden Chinese,8867 ,3 ,3 
66,Betta Jerk,8867 ,3 ,3 
67,Spoon & Fork,8867 ,4 ,4 
68,Bobby's Hideaway,8867 ,4 ,4 
69,Border MX Mexican Grill and Cantina,8867 ,3 ,3 
70,Oceans Fresh Food Market,8867 ,2 ,2 
71,Oceans Fresh Food Market,8867 ,4 ,4 
72,Congee Queen,8867 ,3 ,3 
73,Punjabi Dhaba,8867 ,3 ,3 
74,Meet Noodles,8867 ,4 ,4 
75,Wind Japanese & Thai,8867 ,4 ,4 
76,KFC,8867 ,1 ,1 
77,Royal Jade,8867 ,4 ,4 
78,Spoonful,8867 ,3 ,3 
79,Samosa and Sweet Factory,8867 ,5 ,5 
80,Chako,8867 ,2 ,2 
81,Costco,8867 ,3 ,3 
82,Starsky Foods,8867 ,4 ,4 
83,Elegance Chinese Cuisine & Banquet,8867 ,4 ,4 
84,Sunbeam Grill Restaurant,8867 ,5 ,5 
85,Churrasqueira Grelha D'ouro,8867 ,3 ,3 
86,Trish Juice,8867 ,3 ,3 
87,Sunlight Grill,8867 ,4 ,4 
88,Dolled Up Cupcakes,8867 ,5 ,5 
89,Emerald Chinese Restaurant,91605 ,4 ,4 
90,The Captain's Boil,91605 ,3 ,3 
91,The Keg Steakhouse + Bar - York Street,91605 ,5 ,5 
92,Tim Hortons,91605 ,4 ,4 
93,Xiao Long Bao,91605 ,3 ,3 
94,CrepeStar Dessert Cafe & Bistro,91605 ,5 ,5 
95,Thai Signature,91605 ,3 ,3 
96,Snug Harbour,91605 ,2 ,2 
97,Snug Harbour,91605 ,4 ,4 
98,Tim Hortons,91605 ,1 ,1 
99,Lanzhou Hand Pulled Noodle,91605 ,3 ,3 
100,Sharon Garden,91605 ,3 ,3 
101,Restoran Malaysia,91605 ,2 ,2 
102,Yin Ji Chang Fen,91605 ,3 ,3 
103,Bubble Republic Tea House,91605 ,3 ,3 
104,Gusto 101,91605 ,4 ,4 
105,Emerald Chinese Restaurant,5 ,3 ,3 
106,Summit Garden Chinese,5 ,2 ,2 
107,The Buffet at Bellagio,5 ,2 ,2 
108,Spoon & Fork,5 ,3 ,3 
109,Axia Restaurant & Bar,5 ,4 ,4 
110,Fired Up,5 ,2 ,2 
111,Orchard Family Restaurant,5 ,3 ,3 
112,Burrito Boyz,5 ,3 ,3 
113,Snug Harbour,5 ,4 ,4 
114,Snug Harbour,5 ,2 ,2 
115,Thai Princess,5 ,4 ,4 
116,MGM Grand Buffet,5 ,4 ,4 
117,Casey's Bar and Grill,5 ,3 ,3 
118,KAMA - Classical Indian Cuisine,5 ,4 ,4 
119,West 50 Pourhouse & Grille,5 ,4 ,4 
120,Johnny Rockets,5 ,3 ,3 
121,Tucker's Marketplace,5 ,2 ,2 
122,Montfort Restaurant,5 ,4 ,4 
123,Moxie's Grill & Bar,5 ,4 ,4 
124,Red Lobster,5 ,3 ,3 
125,Earls Kitchen + Bar,5 ,4 ,4 
126,Earls Kitchen + Bar,5 ,4 ,4 
127,Grappa Ristorante,5 ,2 ,2 
128,Little Tokyo Fast Food,5 ,3 ,3 
129,Emerald Chinese Restaurant,6 ,4 ,4 
130,Emerald Chinese Restaurant,6 ,4 ,4 
131,Oceans Fresh Food Market,6 ,3 ,3 
132,Piggy's Restaurant,6 ,5 ,5 
133,Golden Thai Restaurant,6 ,2 ,2 
134,Emerald Chinese Restaurant,7 ,2 ,2 
135,Little Coxwell Vietnamese & Thai Cuisine,7 ,1 ,1 
136,Pastel Creperies & Dessert House,7 ,5 ,5 
137,Potman Hotpot,7 ,5 ,5 
138,Golden Court Abalone Restaurant,7 ,4 ,4 
139,Basil Box,7 ,4 ,4 
140,Rock Lobster Food Co,7 ,5 ,5 
141,Perfect Chinese Restaurant,7 ,4 ,4 
142,Sang-Ji Fried Bao,7 ,5 ,5 
143,Shawarma Grill Xpress,7 ,3 ,3 
144,Skyview Fusion Cuisine,7 ,2 ,2 
145,Bake Code  - North York,7 ,4 ,4 
146,Echo Sushi,7 ,4 ,4 
147,Fisherman Villa,7 ,4 ,4 
148,Dani Sushi Japanese & Korean Restaurant,7 ,5 ,5 
149,Pho Metro,7 ,3 ,3 
150,Royale Fine Dining Banquet,7 ,4 ,4 
151,Omni Palace Noodle House,7 ,4 ,4 
152,Makkal Chon,7 ,5 ,5 
153,Fat Bastard Burrito,7 ,3 ,3 
154,Chako,7 ,2 ,2 
155,Sukho Thai,7 ,3 ,3 
156,Oliver & Bonacini CafÃ© Grill,7 ,2 ,2 
157,Sunny Morning,7 ,5 ,5 
158,Pho Mi 99,7 ,4 ,4 
159,SU&SHI Noodle Bar - Yorkdale,7 ,2 ,2 
160,Teppan House,7 ,2 ,2 
161,Hamaru Sushi,7 ,4 ,4 
162,Paramount Fine Foods,7 ,1 ,1 
163,Country Style Hungarian Restaurant,7 ,3 ,3 
164,Swiss Chalet Rotisserie & Grill,7 ,2 ,2 
165,Pho Rua Vang Golden Turtle,7 ,2 ,2 
166,Southern Accent Restaurant,7 ,4 ,4 
167,Picko Lime,7 ,2 ,2 
168,Hunters Landing Bar Grill Hub Restaurant,7 ,1 ,1 
169,Pizza Thick,7 ,3 ,3 
170,Emerald Chinese Restaurant,153772 ,4 ,4 
171,Xe Lua Restaurant,153772 ,1 ,1 
172,Anh Dao,153772 ,3 ,3 
173,Yuzu No Hana,153772 ,4 ,4 
174,The Captain's Boil,153772 ,3 ,3 
175,Sky Dragon Chinese Restaurant,153772 ,3 ,3 
176,Asian Bowl,153772 ,3 ,3 
177,Emerald Chinese Restaurant,8 ,3 ,3 
178,Buk Chang Dong Soon Tofu,8 ,5 ,5 
179,KooKoo Chicken,8 ,3 ,3 
180,Canyon Creek,8 ,4 ,4 
181,Lan Sushi,8 ,4 ,4 
182,Tandoori Mezban,8 ,2 ,2 
183,Freshii,8 ,2 ,2 
184,Snug Harbour,8 ,4 ,4 
185,Sweet Olenka's,8 ,5 ,5 
186,Pho Metro,8 ,3 ,3 
187,Cho Dang Soon Tofu,8 ,1 ,1 
188,Arctic Bites,8 ,5 ,5 
189,Mitzie's Jerk,8 ,5 ,5 
190,Gaucho Parrilla Argentina,8 ,5 ,5 
191,Chako,8 ,3 ,3 
192,Smoke's Poutinerie Port Credit,8 ,4 ,4 
193,Summer's Ice Cream,8 ,3 ,3 
194,Kaoi Sushi,8 ,5 ,5 
195,Hunters Landing Bar Grill Hub Restaurant,8 ,2 ,2 
196,Sam James Coffee Bar,8 ,5 ,5 
197,Gusto 101,8 ,4 ,4 
198,Coffee Tree Roastery,8 ,2 ,2 
199,Bent,8 ,5 ,5 
200,Emerald Chinese Restaurant,122005 ,4 ,4 
201,Patty Time,122005 ,4 ,4 
202,Burrito Boyz,122005 ,5 ,5 
203,Earls Kitchen + Bar,122005 ,3 ,3 
204,Emerald Chinese Restaurant,68293 ,4 ,4 
205,Kim Moon Bakery,68293 ,4 ,4 
206,Como En Casa,68293 ,5 ,5 
207,Rowe Farms,68293 ,5 ,5 
208,Rose City Kitchen,68293 ,4 ,4 
209,Great Burger Kitchen,68293 ,4 ,4 
210,Cumbrae's,68293 ,4 ,4 
211,Suksi Biryani House,68293 ,4 ,4 
212,Big Smoke Burger,68293 ,4 ,4 
213,Pusateri's Fine Foods,68293 ,4 ,4 
214,Boar,68293 ,5 ,5 
215,Nando's,68293 ,5 ,5 
216,Emerald Chinese Restaurant,9 ,4 ,4 
217,Muddy Duck Restaurant,9 ,2 ,2 
218,Granny's Place,9 ,5 ,5 
219,Kebab 49,9 ,4 ,4 
220,Emerald Chinese Restaurant,171351 ,1 ,1 
221,Marconi Pizza,171351 ,1 ,1 
222,Lion City Restaurant,171351 ,1 ,1 
223,Pho Mi Binh Minh,171351 ,1 ,1 
224,Emerald Chinese Restaurant,10 ,2 ,2 
225,Emerald Chinese Restaurant,80550 ,4 ,4 
226,Oxtail Pho & Banh Mi,80550 ,4 ,4 
227,The Hearth,80550 ,4 ,4 
228,Xe Lua Restaurant,80550 ,3 ,3 
229,Goldstone Noodle Restaurant,80550 ,4 ,4 
230,Sometime Restaurant,80550 ,1 ,1 
231,Doo Roo Ae,80550 ,3 ,3 
232,Kurtis Coffee,80550 ,5 ,5 
233,Light Cafe,80550 ,4 ,4 
234,Millie Creperie,80550 ,4 ,4 
235,Emerald Chinese Restaurant,11 ,3 ,3 
236,Seven Lives Paleteria,11 ,4 ,4 
237,Ding Tai Fung,11 ,3 ,3 
238,Tom's Dairy Freeze,11 ,5 ,5 
239,Emerald Chinese Restaurant,12 ,2 ,2 
240,Emerald Chinese Restaurant,12 ,4 ,4 
241,Pho Queen City,12 ,5 ,5 
242,La Sem Patisserie,12 ,5 ,5 
243,Wok Of Fame,12 ,4 ,4 
244,Lazar Famous Deli & Bakery,12 ,5 ,5 
245,KFC,12 ,2 ,2 
246,Momiji Japanese Restaurant,12 ,5 ,5 
247,Imperial Buffet,12 ,2 ,2 
248,Thanh Son Tofu,12 ,4 ,4 
249,Fauchon Korean Bakery,12 ,5 ,5 
250,Emerald Chinese Restaurant,13 ,4 ,4 
251,Sorento Restaurant Fine Mediterranean Cuisine,13 ,5 ,5 
252,Chinese Halal Restaurant,13 ,4 ,4 
253,Mitchell's Fish Market,13 ,5 ,5 
254,Hutaoli Music Restaurant & Bar,13 ,5 ,5 
255,Spoon,13 ,2 ,2 
256,Hero Certified Burgers - Bayview & York Mills,13 ,1 ,1 
257,CASA manila Restaurant,13 ,4 ,4 
258,CASA manila Restaurant,13 ,2 ,2 
259,Yu Seafood,13 ,1 ,1 
260,Menya Fuji,13 ,5 ,5 
261,Double Ming Chinese Dessert,13 ,1 ,1 
262,Emerald Chinese Restaurant,119209 ,1 ,1 
263,Lucky Chinese Restaurant,119209 ,2 ,2 
264,O Sushi,119209 ,4 ,4 
265,Luckee,119209 ,4 ,4 
266,Rock Lobster Food Co,119209 ,4 ,4 
267,Federick Restaurant,119209 ,4 ,4 
268,Spoon And Fork Plus,119209 ,2 ,2 
269,Bamiyan Kabob,119209 ,4 ,4 
270,La Carnita,119209 ,3 ,3 
271,Chung Moi,119209 ,4 ,4 
272,Sky Dragon Chinese Restaurant,119209 ,3 ,3 
273,Sultan Shawarma & Falafel,119209 ,3 ,3 
274,Il Fornello,119209 ,2 ,2 
275,Messini Authentic Gyros Yonge Eglinton,119209 ,2 ,2 
276,Emerald Chinese Restaurant,14 ,2 ,2 
277,Pho Queen City,14 ,2 ,2 
278,Snug Harbour,14 ,4 ,4 
279,Spoonful,14 ,1 ,1 
280,The Captain's Boil,14 ,5 ,5 
281,Emerald Chinese Restaurant,33 ,2 ,2 
282,Emerald Chinese Restaurant,33 ,5 ,5 
283,Emerald Chinese Restaurant,33 ,4 ,4 
284,Buk Chang Dong Soon Tofu,33 ,4 ,4 
285,Pearl King,33 ,3 ,3 
286,Green Grotto,33 ,3 ,3 
287,Tako Sushi,33 ,4 ,4 
288,Tako Sushi,33 ,4 ,4 
289,Tako Sushi,33 ,4 ,4 
290,Tako Sushi,33 ,4 ,4 
291,KooKoo Chicken,33 ,4 ,4 
292,The Little Dog,33 ,3 ,3 
293,GB Hand-pulled Noodles,33 ,4 ,4 
294,Lebanon Express,33 ,4 ,4 
295,Seoul House,33 ,3 ,3 
296,Wonton Time,33 ,4 ,4 
297,Cafe Bene,33 ,3 ,3 
298,Asahi Sushi,33 ,3 ,3 
299,Nolbu,33 ,3 ,3 
300,Alice Fazooli's,33 ,1 ,1 
301,Truly Thai Cuisine,33 ,3 ,3 
302,Hi Shanghai Restaurant,33 ,2 ,2 
303,Starbucks,33 ,4 ,4 
304,Perfect Chinese Restaurant,33 ,1 ,1 
305,W Burger Bar,33 ,3 ,3 
306,Miami DÃ©li,33 ,3 ,3 
307,Iryewon Asian Fusion Restaurant,33 ,4 ,4 
308,Marado Sushi,33 ,4 ,4 
309,Bubble Republic Tea House,33 ,2 ,2 
310,Pi-Tom's Thai Cuisine,33 ,1 ,1 
311,Pi-Tom's Thai Cuisine,33 ,3 ,3 
312,Pi-Tom's Thai Cuisine,33 ,4 ,4 
313,Bake Code  - North York,33 ,3 ,3 
314,Lucky Moose Food Mart,33 ,5 ,5 
315,Lucky Moose Food Mart,33 ,4 ,4 
316,Yasu,33 ,4 ,4 
317,Freshii,33 ,4 ,4 
318,Cantine Bar & Grill,33 ,4 ,4 
319,Cantine Bar & Grill,33 ,4 ,4 
320,Fresh Off The Boat,33 ,4 ,4 
321,Royaltea,33 ,3 ,3 
322,McDonald's,33 ,3 ,3 
323,Ho Jan Chinese Restaurant,33 ,3 ,3 
324,Made In China,33 ,4 ,4 
325,Aroma Fine Indian Cuisine,33 ,3 ,3 
326,Peridot Resto Lounge,33 ,2 ,2 
327,Lion City Restaurant,33 ,3 ,3 
328,Fickle,33 ,2 ,2 
329,Descendant Detroit Style Pizza,33 ,3 ,3 
330,Sora Sushi Bar,33 ,4 ,4 
331,Nana Sushi,33 ,4 ,4 
332,Duck,33 ,4 ,4 
333,Katsuya,33 ,5 ,5 
334,Woo Buffet & Restaurant Lounge,33 ,2 ,2 
335,Burger King,33 ,1 ,1 
336,Piggy's Restaurant,33 ,4 ,4 
337,Asian Legend,33 ,4 ,4 
338,Yuzu No Hana,33 ,4 ,4 
339,Nuri Village,33 ,5 ,5 
340,Monta Ramen,33 ,4 ,4 
341,Kayagum,33 ,3 ,3 
342,SongCook's,33 ,4 ,4 
343,Tu Casa Fine Dining,33 ,5 ,5 
344,Green Fusion,33 ,4 ,4 
345,Green Fusion,33 ,3 ,3 
346,Canoe,33 ,2 ,2 
347,Little Sister,33 ,4 ,4 
348,Myungdong Noodle Shabushabu,33 ,3 ,3 
349,Macey's Restaurant,33 ,4 ,4 
350,Macey's Restaurant,33 ,4 ,4 
351,Congee Wong,33 ,4 ,4 
352,Congee Wong,33 ,5 ,5 
353,Orange Caramel Tea Cafe,33 ,3 ,3 
354,Pho Mi Asia,33 ,4 ,4 
355,Est West Cafe,33 ,4 ,4 
356,Red Lotus,33 ,5 ,5 
357,Hair of the Dog,33 ,3 ,3 
358,The Fritter King,33 ,3 ,3 
359,Lai Wah Heen,33 ,2 ,2 
360,Mississauga Marketplace Fish & Chips,33 ,4 ,4 
361,Bubble Republic Tea House,33 ,1 ,1 
362,Ding Tai Fung,33 ,3 ,3 
363,Ka Chi,33 ,2 ,2 
364,Tasty BBQ Seafood Restaurant,33 ,3 ,3 
365,Tasty BBQ Seafood Restaurant,33 ,1 ,1 
366,Tasty BBQ Seafood Restaurant,33 ,1 ,1 
367,My Pho,33 ,4 ,4 
368,88 Vietnamese Restaurant,33 ,3 ,3 
369,Daily Sushi Japanese Restaurant,33 ,3 ,3 
370,Emerald Chinese Restaurant,15 ,4 ,4 
371,Pullman,15 ,4 ,4 
372,Emerald Chinese Restaurant,16 ,5 ,5 
373,Tako Sushi,16 ,3 ,3 
374,Happy Jade Seafood Chinese Restaurant,16 ,4 ,4 
375,Jack Astor's Bar & Grill,16 ,1 ,1 
376,Tutti Frutti Breakfast,16 ,2 ,2 
377,Red Lobster,16 ,5 ,5 
378,KK Sushi Japanese,16 ,5 ,5 
379,Emerald Chinese Restaurant,17 ,3 ,3 
380,Bombay Bhel,17 ,4 ,4 
381,Emerald Chinese Restaurant,252612 ,4 ,4 
382,KINTON RAMEN,252612 ,4 ,4 
383,Emerald Chinese Restaurant,18 ,3 ,3 
384,Tracy Dessert,18 ,4 ,4 
385,Ruelo Patisserie,18 ,4 ,4 
386,Golden Court Abalone Restaurant,18 ,3 ,3 
387,Jim Chai Kee,18 ,5 ,5 
388,Longo's,18 ,4 ,4 
389,St-Viateur Bagel & CafÃ©,18 ,5 ,5 
390,Delicious Seafood & Steak,18 ,3 ,3 
391,Saigon House Restaurant,18 ,3 ,3 
392,Louis XIV Cake & Wedding,18 ,4 ,4 
393,Sun's Kitchen,18 ,3 ,3 
394,Pun Cao Tong,18 ,3 ,3 
395,CASA manila Restaurant,18 ,3 ,3 
396,St Lawrence Market,18 ,5 ,5 
397,Maxim's CafÃ© & Patisserie,18 ,3 ,3 
398,Wonder Fusion Corp,18 ,3 ,3 
399,Asian Legend,18 ,3 ,3 
400,Sukho Thai,18 ,5 ,5 
401,Delicious Food Restaurant,18 ,3 ,3 
402,M Cafe,18 ,4 ,4 
403,Pusateri's Fine Foods,18 ,3 ,3 
404,Saigon Star,18 ,5 ,5 
405,The Bowl Kee Restaurant,18 ,4 ,4 
406,Sharon's! Florist And Patisserie,18 ,3 ,3 
407,Ding Tai Fung,18 ,3 ,3 
408,Emerald Chinese Restaurant,7199 ,2 ,2 
409,Emerald Chinese Restaurant,7199 ,3 ,3 
410,Burrito Bandidos,7199 ,5 ,5 
411,Brockton Haunt,7199 ,5 ,5 
412,The Combine Eatery,7199 ,3 ,3 
413,Summit Garden Chinese,7199 ,3 ,3 
414,Longos,7199 ,3 ,3 
415,Tako Sushi,7199 ,3 ,3 
416,Tako Sushi,7199 ,2 ,2 
417,O Sushi,7199 ,4 ,4 
418,Second Cup,7199 ,3 ,3 
419,Scruffy Murphy's Irish Pub,7199 ,3 ,3 
420,Asian Legend,7199 ,3 ,3 
421,Bagel Plus,7199 ,4 ,4 
422,Bagel Plus,7199 ,5 ,5 
423,Ame,7199 ,2 ,2 
424,The Mad Italian,7199 ,4 ,4 
425,Dr Generosity,7199 ,3 ,3 
426,CafÃ© Taste,7199 ,3 ,3 
427,Jardin Nelson,7199 ,4 ,4 
428,OverEasy Restaurant,7199 ,2 ,2 
429,Alice Fazooli's,7199 ,4 ,4 
430,Lula Lounge,7199 ,2 ,2 
431,Oceans Fresh Food Market,7199 ,5 ,5 
432,Ali Baba's Middle Eastern Cuisine,7199 ,5 ,5 
433,Fiesta Farms,7199 ,4 ,4 
434,Fiesta Farms,7199 ,4 ,4 
435,Ciao Wine Bar,7199 ,2 ,2 
436,The Yellow Griffin,7199 ,4 ,4 
437,The Yellow Griffin,7199 ,4 ,4 
438,Dimmi Bar & Trattoria,7199 ,3 ,3 
439,Dimmi Bar & Trattoria,7199 ,4 ,4 
440,Littlefish,7199 ,4 ,4 
441,Anoush,7199 ,4 ,4 
442,Tsaa Tea Shop,7199 ,4 ,4 
443,Thai Green Chili,7199 ,2 ,2 
444,Pizzeria Libretto Danforth,7199 ,5 ,5 
445,Green Eggplant Restaurant,7199 ,3 ,3 
446,W Burger Bar,7199 ,3 ,3 
447,Starbucks,7199 ,3 ,3 
448,Snakes & Lattes Annex,7199 ,4 ,4 
449,Mary Browns Chicken & Taters,7199 ,4 ,4 
450,Piano Piano,7199 ,2 ,2 
451,Pomegranate Restaurant,7199 ,5 ,5 
452,Victory CafÃ©,7199 ,3 ,3 
453,Rooster Coffee House,7199 ,5 ,5 
454,Sushi Queen Izakaya,7199 ,3 ,3 
455,Gio Rana's Really Really Nice Restaurant,7199 ,4 ,4 
456,Indie Ale House,7199 ,4 ,4 
457,Burrito Boyz,7199 ,5 ,5 
458,Lucky Moose Food Mart,7199 ,4 ,4 
459,The Saint Tavern,7199 ,3 ,3 
460,La Rev,7199 ,3 ,3 
461,Teaopia,7199 ,2 ,2 
462,Slider Revolution,7199 ,3 ,3 
463,Fresh on Spadina,7199 ,5 ,5 
464,Big Smoke Burger,7199 ,3 ,3 
465,Coach House Shortbread Company,7199 ,4 ,4 
466,Nectar Desserts,7199 ,4 ,4 
467,Starbucks,7199 ,3 ,3 
468,Red Bean Espresso + Market,7199 ,3 ,3 
469,Le Castillon,7199 ,2 ,2 
470,Hot Oven Bakery,7199 ,3 ,3 
471,Nuthouse,7199 ,4 ,4 
472,ChococrÃªpe,7199 ,5 ,5 
473,Quesada Burritos & Tacos,7199 ,3 ,3 
474,Quesada Burritos & Tacos,7199 ,4 ,4 
475,Cobs Bread,7199 ,4 ,4 
476,Goldstone Noodle Restaurant,7199 ,4 ,4 
477,Fickle,7199 ,3 ,3 
478,Campagnolo,7199 ,3 ,3 
479,Queen Margherita Pizza,7199 ,4 ,4 
480,Bazille,7199 ,4 ,4 
481,Bonjour Brioche,7199 ,4 ,4 
482,The Passenger,7199 ,3 ,3 
483,The Passenger,7199 ,3 ,3 
484,Woo Buffet & Restaurant Lounge,7199 ,2 ,2 
485,Mitzi's CafÃ©,7199 ,3 ,3 
486,Wakame Sushi,7199 ,3 ,3 
487,Farmhouse Tavern,7199 ,3 ,3 
488,Merchants of Green Coffee,7199 ,4 ,4 
489,Asian Legend,7199 ,2 ,2 
490,Italian Express,7199 ,3 ,3 
491,BarChef,7199 ,4 ,4 
492,Ajisen Ramen,7199 ,3 ,3 
493,Jamie's Italian,7199 ,5 ,5 
494,Paramount Middle Eastern Kitchen,7199 ,4 ,4 
495,Paramount Middle Eastern Kitchen,7199 ,4 ,4 
496,Noah's Natural Foods,7199 ,4 ,4 
497,Pat's No Frills,7199 ,3 ,3 
498,CafÃ© Boulud,7199 ,4 ,4 
499,SU&SHI Noodle Bar - Yorkdale,7199 ,3 ,3 
500,Boku Sushi,7199 ,4 ,4 
501,Uncle Joes Family Restaurant,7199 ,3 ,3 
502,Yummy Vietnamese Cuisine,7199 ,4 ,4 
503,SongCook's,7199 ,4 ,4 
504,Porter House,7199 ,4 ,4 
505,Summer's Ice Cream,7199 ,5 ,5 
506,Fran's Restaurant,7199 ,3 ,3 
507,Loblaws,7199 ,1 ,1 
508,Loblaws,7199 ,3 ,3 
509,Lola's Kitchen,7199 ,4 ,4 
510,L'espresso Bar Mercurio,7199 ,4 ,4 
511,Bar Isabel,7199 ,3 ,3 
512,Bar Mercurio,7199 ,3 ,3 
513,Cava,7199 ,3 ,3 
514,Baskin-Robbins Ice Cream,7199 ,2 ,2 
515,Loblaws,7199 ,3 ,3 
516,Cilantro,7199 ,4 ,4 
517,Dark Horse Espresso,7199 ,4 ,4 
518,Southern Accent Restaurant,7199 ,3 ,3 
519,Sushi & Thai Cuisine,7199 ,2 ,2 
520,Byblos,7199 ,4 ,4 
521,CrÃªpe It Up,7199 ,5 ,5 
522,The Good Neighbour Espresso Bar,7199 ,5 ,5 
523,Origin North,7199 ,3 ,3 
524,Barque Smokehouse,7199 ,3 ,3 
525,Yorkville Crepes,7199 ,5 ,5 
526,Estiatorio VOLOS,7199 ,3 ,3 
527,Pure Spirits Oyster House & Grill,7199 ,2 ,2 
528,Nazareth Bar,7199 ,4 ,4 
529,Pizza Rustica,7199 ,3 ,3 
530,Piola,7199 ,3 ,3 
531,Nodo,7199 ,5 ,5 
532,Emerald Chinese Restaurant,19 ,2 ,2 
533,On the Bun Burgers,19 ,3 ,3 
534,Alice Fazooli's,19 ,4 ,4 
535,Souvlaki Hut,19 ,1 ,1 
536,Big Smoke Burger,19 ,4 ,4 
537,Smoke's Poutinerie,19 ,4 ,4 
538,Burrito Boyz,19 ,5 ,5 
539,West 50 Pourhouse & Grille,19 ,3 ,3 
540,Raps Authentic Jamaican,19 ,1 ,1 
541,Emerald Chinese Restaurant,20 ,1 ,1 
542,A&W,20 ,5 ,5 
543,Metro,20 ,2 ,2 
544,Metro,20 ,5 ,5 
545,Pizza Pizza,20 ,1 ,1 
546,Burton Meats,20 ,5 ,5 
547,Taste of Thailand Cuisine,20 ,5 ,5 
548,Eggsmart,20 ,1 ,1 
549,McDonald's,20 ,1 ,1 
550,Colombia Mia,20 ,5 ,5 
551,The Kennedy Public House,20 ,3 ,3 
552,Burrito Boyz,20 ,1 ,1 
553,Burrito Boyz,20 ,1 ,1 
554,Chelsea Restaurant,20 ,5 ,5 
555,French Corner Bakery & Patisserie,20 ,5 ,5 
556,McDonald's,20 ,1 ,1 
557,Starsky Foods,20 ,5 ,5 
558,WingsUp!,20 ,1 ,1 
559,Emerald Chinese Restaurant,276057 ,1 ,1 
560,King Asian Restaurant,276057 ,5 ,5 
561,Emerald Chinese Restaurant,4955 ,3 ,3 
562,Cha Me Cha,4955 ,4 ,4 
563,Sakana Sushi & Grill,4955 ,3 ,3 
564,Pastel Creperies & Dessert House,4955 ,4 ,4 
565,Campechano TaquerÃ­a,4955 ,4 ,4 
566,Fred's Not Here,4955 ,3 ,3 
567,Soup Nutsy,4955 ,2 ,2 
568,My Wonderful Kitchen,4955 ,3 ,3 
569,Royale Fine Dining Banquet,4955 ,4 ,4 
570,Sukho Thai,4955 ,3 ,3 
571,Macey's Restaurant,4955 ,2 ,2 
572,Sushi Sushi,4955 ,2 ,2 
573,Gusto 101,4955 ,4 ,4 
574,ZenQ,4955 ,4 ,4 
575,Emerald Chinese Restaurant,7206 ,3 ,3 
576,Bolt Fresh Bar,7206 ,2 ,2 
577,Brockton Haunt,7206 ,4 ,4 
