,title,genres,user
0,Moon 44 (1990),Action|Film-Noir|Sci-Fi|Thriller,1523.0
1,Chrysalis (2007),Action|Crime|Sci-Fi|Thriller,1523.0
2,iBoy (2017),Action|Crime|Sci-Fi|Thriller,1523.0
3,RoboCop 2 (1990),Action|Crime|Sci-Fi|Thriller,1523.0
4,Black Moon Rising (1986),Action|Crime|Sci-Fi|Thriller,1523.0
5,Yesterday (2002),Action|Crime|Sci-Fi|Thriller,1523.0
30778,The Good Old Boys (1995),Adventure|Western,1523.0
12246,No Country for Old Men (2007),Crime|Drama,1523.0
12356,There Will Be Blood (2007),Drama|Western,1523.0
9587,Hotel Rwanda (2004),Drama|War,1523.0
0,Rogues' Regiment (1948),Action|Adventure|Film-Noir|Thriller|War,1563.0
1,Moon 44 (1990),Action|Film-Noir|Sci-Fi|Thriller,1563.0
2,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller,1563.0
3,Nazis at the Center of the Earth (2012),Action|Adventure|Horror|Thriller,1563.0
4,Silent Venom (2009),Action|Adventure|Horror|Thriller,1563.0
5,Caught Inside (2010),Action|Adventure|Horror|Thriller,1563.0
11386,"Departed, The (2006)",Crime|Drama|Thriller,1563.0
5891,Catch Me If You Can (2002),Crime|Drama,1563.0
10304,Serenity (2005),Action|Adventure|Sci-Fi,1563.0
22463,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,1563.0
0,48 Weeks Later (2006),Action|Adventure|Horror|Sci-Fi,1593.0
1,Ice Sharks (2016),Action|Adventure|Horror|Sci-Fi,1593.0
2,Sabretooth (2002),Action|Adventure|Horror|Sci-Fi|Thriller,1593.0
3,Aliens (1986),Action|Adventure|Horror|Sci-Fi,1593.0
4,Mighty Peking Man (a.k.a. Goliathon) (Xing xing wang) (1977),Action|Adventure|Horror|Sci-Fi,1593.0
5,The Predator (2018),Action|Adventure|Horror|Sci-Fi,1593.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,1593.0
293,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,1593.0
20067,Kabei: Our Mother (Kâbê) (2008),Drama,1593.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1593.0
0,Breakin' (1984),Drama|Musical,1614.0
1,Rhapsody in Blue (1945),Drama|Musical,1614.0
2,Summer Holiday (1948),Musical,1614.0
3,Orchestra Wives (1942),Musical,1614.0
4,Jacques Brel Is Alive and Well and Living in Paris (1975),Musical,1614.0
5,Grace Unplugged (2013),Drama|Musical,1614.0
7042,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,1614.0
4898,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,1614.0
5854,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,1614.0
17997,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX,1614.0
0,Crimson Tide (1995),Drama|Thriller|War,1686.0
1,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,1686.0
2,Vice (2008),Crime|Film-Noir|Mystery|Thriller,1686.0
3,"Pure Formality, A (Pura formalità, Una) (1994)",Crime|Film-Noir|Mystery|Thriller,1686.0
4,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,1686.0
5,House of Games (1987),Crime|Film-Noir|Mystery|Thriller,1686.0
27386,White Tiger (1996),Action,1686.0
35018,Spoiler (1998),Horror|Sci-Fi|Thriller,1686.0
42538,Blind Side (1993),Drama|Thriller,1686.0
42773,Spooky Town (1999),Horror|Western,1686.0
0,Cannibal! The Musical (a.k.a. Alferd Packer: The Musical) (1996),Comedy|Horror|Musical|Western,1745.0
1,Stingray Sam (2009),Comedy|Musical|Sci-Fi|Western,1745.0
2,Jesus Christ Vampire Hunter (2001),Action|Comedy|Horror|Musical,1745.0
3,"Creature Wasn't Nice, The (a.k.a. Naked Space) (a.k.a. Spaceship) (1981)",Comedy|Horror|Musical|Sci-Fi,1745.0
4,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,1745.0
5,Robot (2010),Action|Comedy|Musical|Sci-Fi,1745.0
315,"Shawshank Redemption, The (1994)",Crime|Drama,1745.0
23262,Interstellar (2014),Sci-Fi|IMAX,1745.0
12559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,1745.0
11425,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,1745.0
0,Affair in Trinidad (1952),Drama|Film-Noir|Musical|Thriller,1832.0
1,Kansas City (1996),Crime|Drama|Musical|Thriller,1832.0
2,Beat Street (1984),Drama|Musical,1832.0
3,Sincerely Yours (1955),Drama|Musical,1832.0
4,Satin Rouge (2002),Drama|Musical,1832.0
5,What's Love Got to Do with It? (1993),Drama|Musical,1832.0
293,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,1832.0
352,Forrest Gump (1994),Comedy|Drama|Romance|War,1832.0
1067,Reservoir Dogs (1992),Crime|Mystery|Thriller,1832.0
3061,"Green Mile, The (1999)",Crime|Drama,1832.0
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1848.0
1,Jumanji (1995),Adventure|Children|Fantasy,1848.0
2,Grumpier Old Men (1995),Comedy|Romance,1848.0
3,Waiting to Exhale (1995),Comedy|Drama|Romance,1848.0
4,Father of the Bride Part II (1995),Comedy,1848.0
5,Heat (1995),Action|Crime|Thriller,1848.0
34318,Before We Go (2014),Romance,1848.0
17615,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi|Thriller|War,1848.0
0,Beyond The Sky (2018),Horror|Mystery|Sci-Fi|Thriller,1933.0
1,Cube Zero (2004),Horror|Mystery|Sci-Fi|Thriller,1933.0
2,The Dark Hour (2007),Horror|Mystery|Sci-Fi|Thriller,1933.0
3,The Caller (1987),Horror|Mystery|Sci-Fi|Thriller,1933.0
4,Island of the Burning Damned (Night of the Big Heat) (1967),Horror|Mystery|Sci-Fi|Thriller,1933.0
5,The Whisperer in Darkness (2011),Horror|Mystery|Sci-Fi|Thriller,1933.0
315,"Shawshank Redemption, The (1994)",Crime|Drama,1933.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,1933.0
23262,Interstellar (2014),Sci-Fi|IMAX,1933.0
12559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,1933.0
0,Oxygen (2009),Drama|Musical,1974.0
1,"Hole, The (Dong) (1998)",Drama|Musical,1974.0
2,"Temptations, The (1998)",Drama|Musical,1974.0
3,Hallelujah! (1929),Drama|Musical,1974.0
4,Mother India (1957),Drama|Musical,1974.0
5,Cats (1998),Musical,1974.0
45569,The Way We Live Now (2001),Drama|Romance,1974.0
16274,Harry Potter and the Deathly Hallows: Part 1 (2010),Action|Adventure|Fantasy|IMAX,1974.0
11424,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller,1974.0
13983,Harry Potter and the Half-Blood Prince (2009),Adventure|Fantasy|Mystery|Romance|IMAX,1974.0
0,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller,2020.0
1,3 Blind Mice (2003),Crime|Mystery|Romance|Thriller,2020.0
2,"Oxford Murders, The (2007)",Crime|Mystery|Romance|Thriller,2020.0
3,Dhoom (2004),Action|Crime|Musical|Romance,2020.0
4,S. Darko (S. Darko: A Donnie Darko Tale) (2009),Crime|Mystery|Sci-Fi|Thriller,2020.0
5,Kansas City (1996),Crime|Drama|Musical|Thriller,2020.0
9488,Old Boy (2003),Mystery|Thriller,2020.0
4900,"Beautiful Mind, A (2001)",Drama|Romance,2020.0
3488,Gladiator (2000),Action|Adventure|Drama,2020.0
9325,Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),Crime|Drama|Mystery|Thriller|War,2020.0
0,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,2025.0
1,Vice (2008),Crime|Film-Noir|Mystery|Thriller,2025.0
2,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,2025.0
3,"Pure Formality, A (Pura formalità, Una) (1994)",Crime|Film-Noir|Mystery|Thriller,2025.0
4,House of Games (1987),Crime|Film-Noir|Mystery|Thriller,2025.0
5,Chase a Crooked Shadow (1958),Crime|Film-Noir|Mystery|Thriller,2025.0
10912,Inside Man (2006),Crime|Drama|Thriller,2025.0
497,Naked (1993),Drama,2025.0
7320,Man on Fire (2004),Action|Crime|Drama|Mystery|Thriller,2025.0
11544,When the Levees Broke: A Requiem in Four Acts (2006),Documentary,2025.0
0,Razortooth (2007),Action|Horror|Sci-Fi|Thriller,2069.0
1,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,2069.0
2,The Meg (2018),Action|Horror|Sci-Fi|Thriller,2069.0
3,The Hunt (2006),Action|Horror|Sci-Fi|Thriller,2069.0
4,Alien vs. Ninja (2010),Action|Horror|Sci-Fi|Thriller,2069.0
5,Project Viper (2002),Action|Horror|Sci-Fi|Thriller,2069.0
315,"Shawshank Redemption, The (1994)",Crime|Drama,2069.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,2069.0
23262,Interstellar (2014),Sci-Fi|IMAX,2069.0
12559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,2069.0
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,2087.0
1,Jumanji (1995),Adventure|Children|Fantasy,2087.0
2,Grumpier Old Men (1995),Comedy|Romance,2087.0
3,Waiting to Exhale (1995),Comedy|Drama|Romance,2087.0
4,Father of the Bride Part II (1995),Comedy,2087.0
5,Heat (1995),Action|Crime|Thriller,2087.0
23262,Interstellar (2014),Sci-Fi|IMAX,2087.0
12559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,2087.0
11425,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,2087.0
4133,Memento (2000),Mystery|Thriller,2087.0
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,2104.0
1,Jumanji (1995),Adventure|Children|Fantasy,2104.0
2,Grumpier Old Men (1995),Comedy|Romance,2104.0
3,Waiting to Exhale (1995),Comedy|Drama|Romance,2104.0
4,Father of the Bride Part II (1995),Comedy,2104.0
5,Heat (1995),Action|Crime|Thriller,2104.0
315,"Shawshank Redemption, The (1994)",Crime|Drama,2104.0
35237,Running the Sahara (2009),Documentary,2104.0
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,2104.0
3061,"Green Mile, The (1999)",Crime|Drama,2104.0
0,"Objective, The (2008)",Horror|Sci-Fi|Thriller|War,2113.0
1,The Bride (1985),Horror|Romance|Sci-Fi|Thriller,2113.0
2,Snakeman (2005),Adventure|Horror|Sci-Fi|Thriller,2113.0
3,Caltiki the Undying Monster (1959),Adventure|Horror|Sci-Fi|Thriller,2113.0
4,"Black Cat, The (1934)",Adventure|Crime|Horror|Thriller,2113.0
5,Mary Reilly (1996),Drama|Horror|Thriller,2113.0
315,"Shawshank Redemption, The (1994)",Crime|Drama,2113.0
11386,"Departed, The (2006)",Crime|Drama|Thriller,2113.0
352,Forrest Gump (1994),Comedy|Drama|Romance|War,2113.0
3061,"Green Mile, The (1999)",Crime|Drama,2113.0
0,Carnage Park (2016),Action|Crime|Horror|Thriller,2132.0
1,Cold & Dark (2005),Action|Crime|Horror|Thriller,2132.0
2,Maniac Cop (1988),Action|Crime|Horror|Thriller,2132.0
3,VANish (2015),Action|Crime|Horror|Thriller,2132.0
4,Red State (2011),Action|Crime|Horror|Thriller,2132.0
5,Robo Vampire (1988),Action|Crime|Horror|Thriller,2132.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,2132.0
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,2132.0
1645,Good Will Hunting (1997),Drama|Romance,2132.0
13691,Inglourious Basterds (2009),Action|Drama|War,2132.0
0,"Card Player, The (Il cartaio) (2004)",Crime|Horror|Mystery|Thriller,2158.0
1,The Seamstress (2009),Crime|Horror|Mystery|Thriller,2158.0
2,Saw VI (2009),Crime|Horror|Mystery|Thriller,2158.0
3,"Barber, The (2002)",Crime|Horror|Mystery|Thriller,2158.0
4,From Hell (2001),Crime|Horror|Mystery|Thriller,2158.0
5,"Nature of the Beast, The (1995)",Crime|Horror|Mystery|Thriller,2158.0
45569,The Way We Live Now (2001),Drama|Romance,2158.0
7042,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,2158.0
4898,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,2158.0
5854,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,2158.0
0,Eddie and the Cruisers (1983),Drama|Musical|Mystery,2160.0
1,Marat/Sade (1966),Drama|Musical,2160.0
2,Rent: Filmed Live on Broadway (2008),Drama|Musical,2160.0
3,Dreamgirls (2006),Drama|Musical,2160.0
4,Zoot Suit (1981),Drama|Musical,2160.0
5,Mo' Better Blues (1990),Drama|Musical,2160.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,2160.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2160.0
2487,"Matrix, The (1999)",Action|Sci-Fi|Thriller,2160.0
7250,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,2160.0
0,Bandido (1956),Action|Adventure|War|Western,2205.0
1,Crimson Tide (1995),Drama|Thriller|War,2205.0
2,Rio Lobo (1970),Adventure|Romance|War|Western,2205.0
3,"Last of the Mohicans, The (1992)",Action|Romance|War|Western,2205.0
4,Minnesota Clay (1964),Action|Romance|War|Western,2205.0
5,Cannibal! The Musical (a.k.a. Alferd Packer: The Musical) (1996),Comedy|Horror|Musical|Western,2205.0
765,Trainspotting (1996),Comedy|Crime|Drama,2205.0
12356,There Will Be Blood (2007),Drama|Western,2205.0
4783,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,2205.0
3074,Magnolia (1999),Drama,2205.0
0,Cyborg Girl (Boku no kanojo wa saibôgu) (2008),Action|Comedy|Romance|Sci-Fi,2230.0
1,Video Game High School (2013),Action|Comedy|Romance|Sci-Fi,2230.0
2,Barking at the Stars (1998),Action|Comedy|Romance|Sci-Fi|Thriller,2230.0
3,Green Snake (1993),Action|Fantasy|Romance|Sci-Fi,2230.0
4,Operation Petticoat (1959),Action|Comedy|Romance|War,2230.0
5,Hot Shots! (1991),Action|Comedy|Romance|War,2230.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,2230.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2230.0
7042,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,2230.0
4898,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,2230.0
0,Soldiers Of The Damned (2015),Action|Horror|Thriller|War,2280.0
1,"Exterminator, The (1980)",Action|Crime|Thriller|War,2280.0
2,Ghost Recon: Alpha (2012),Action|Sci-Fi|Thriller|War,2280.0
3,"Book of Fate, The (Kohtalon kirja) (2003)",Action|Horror|Sci-Fi|War|Western,2280.0
4,Starship Troopers 2: Hero of the Federation (2004),Action|Horror|Sci-Fi|War,2280.0
5,Braveheart (1995),Action|Drama|War,2280.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,2280.0
35237,Running the Sahara (2009),Documentary,2280.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2280.0
13691,Inglourious Basterds (2009),Action|Drama|War,2280.0
0,Affair in Trinidad (1952),Drama|Film-Noir|Musical|Thriller,2294.0
1,Angel Heart (1987),Film-Noir|Horror|Mystery|Thriller,2294.0
2,What's the Matter with Helen? (1971),Crime|Drama|Horror|Musical,2294.0
3,Sweeney Todd: The Demon Barber of Fleet Street (1982),Drama|Horror|Musical|Thriller,2294.0
4,Phantom of the Opera (1943),Horror|Musical|Thriller,2294.0
5,Sweeney Todd: The Demon Barber of Fleet Street (2007),Drama|Horror|Musical|Thriller,2294.0
765,Trainspotting (1996),Comedy|Crime|Drama,2294.0
5,Heat (1995),Action|Crime|Thriller,2294.0
13411,Chinese Coffee (2000),Drama,2294.0
1073,Glengarry Glen Ross (1992),Drama,2294.0
0,"Aerial, The (La antena) (2007)",Adventure|Fantasy|Film-Noir|Mystery|Sci-Fi,2329.0
1,Angel Heart (1987),Film-Noir|Horror|Mystery|Thriller,2329.0
2,Dark Woods (Villmark) (2003),Adventure|Horror|Mystery|Thriller,2329.0
3,"Deep, The (1977)",Adventure|Horror|Mystery|Thriller,2329.0
4,Deadline at Dawn (1946),Film-Noir|Mystery|Romance|Thriller,2329.0
5,Professor Layton and the Eternal Diva (Eiga Reiton-kyôju to eien no utahime) (2009),Action|Adventure|Animation|Mystery|Sci-Fi,2329.0
5,Heat (1995),Action|Crime|Thriller,2329.0
13001,John Adams (2008),Drama,2329.0
13411,Chinese Coffee (2000),Drama,2329.0
8191,Shaun of the Dead (2004),Comedy|Horror,2329.0
0,Snakeman (2005),Adventure|Horror|Sci-Fi|Thriller,2338.0
1,Caltiki the Undying Monster (1959),Adventure|Horror|Sci-Fi|Thriller,2338.0
2,Python (2000),Comedy|Horror|Sci-Fi|Thriller,2338.0
3,Night of the Creeps (1986),Comedy|Horror|Sci-Fi|Thriller,2338.0
4,Body Bags (1993),Comedy|Horror|Sci-Fi|Thriller,2338.0
5,Sand Sharks (2011),Comedy|Horror|Sci-Fi|Thriller,2338.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,2338.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2338.0
13691,Inglourious Basterds (2009),Action|Drama|War,2338.0
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,2338.0
0,Carnage Park (2016),Action|Crime|Horror|Thriller,2399.0
1,Cold & Dark (2005),Action|Crime|Horror|Thriller,2399.0
2,VANish (2015),Action|Crime|Horror|Thriller,2399.0
3,Robo Vampire (1988),Action|Crime|Horror|Thriller,2399.0
4,Maniac Cop (1988),Action|Crime|Horror|Thriller,2399.0
5,Red State (2011),Action|Crime|Horror|Thriller,2399.0
315,"Shawshank Redemption, The (1994)",Crime|Drama,2399.0
352,Forrest Gump (1994),Comedy|Drama|Romance|War,2399.0
7042,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,2399.0
3061,"Green Mile, The (1999)",Crime|Drama,2399.0
0,Carnage Park (2016),Action|Crime|Horror|Thriller,2419.0
1,Red State (2011),Action|Crime|Horror|Thriller,2419.0
2,Maniac Cop (1988),Action|Crime|Horror|Thriller,2419.0
3,Robo Vampire (1988),Action|Crime|Horror|Thriller,2419.0
4,VANish (2015),Action|Crime|Horror|Thriller,2419.0
5,Cold & Dark (2005),Action|Crime|Horror|Thriller,2419.0
7042,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,2419.0
4898,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,2419.0
5854,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,2419.0
7250,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,2419.0
0,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,2440.0
1,Blues in the Night (1941),Drama|Film-Noir|Musical,2440.0
2,Radioactive Dreams (1985),Action|Comedy|Film-Noir|Musical|Sci-Fi,2440.0
3,8 Women (2002),Comedy|Crime|Musical|Mystery,2440.0
4,Don (2006),Action|Crime|Musical,2440.0
5,Straight from the Barrio (Talento de barrio) (2008) ,Action|Crime|Drama|Musical,2440.0
293,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,2440.0
523,Schindler's List (1993),Drama|War,2440.0
352,Forrest Gump (1994),Comedy|Drama|Romance|War,2440.0
1067,Reservoir Dogs (1992),Crime|Mystery|Thriller,2440.0
0,Alois Nebel (2011),Animation|Crime|War,2463.0
1,Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma) (1990),Crime|Film-Noir|Horror|Romance|Thriller,2463.0
2,"Misérables, Les (1998)",Crime|Drama|Romance|War,2463.0
3,Dhoom (2004),Action|Crime|Musical|Romance,2463.0
4,Kite (1998),Action|Animation|Crime|Thriller,2463.0
5,Batman: Assault on Arkham (2014),Action|Animation|Crime|Thriller,2463.0
315,"Shawshank Redemption, The (1994)",Crime|Drama,2463.0
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,2463.0
3061,"Green Mile, The (1999)",Crime|Drama,2463.0
2773,American Beauty (1999),Drama|Romance,2463.0
0,Sweeney Todd: The Demon Barber of Fleet Street (2007),Drama|Horror|Musical|Thriller,2571.0
1,Phantom of the Opera (1943),Horror|Musical|Thriller,2571.0
2,Sweeney Todd: The Demon Barber of Fleet Street (1982),Drama|Horror|Musical|Thriller,2571.0
3,What's the Matter with Helen? (1971),Crime|Drama|Horror|Musical,2571.0
4,Battlefield Baseball (Jigoku kôshien) (2003),Action|Horror|Musical,2571.0
5,"Phantom of the Opera, The (1989)",Drama|Horror|Musical,2571.0
23262,Interstellar (2014),Sci-Fi|IMAX,2571.0
12559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,2571.0
11425,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,2571.0
7042,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,2571.0
0,Angel Heart (1987),Film-Noir|Horror|Mystery|Thriller,2580.0
1,Moon 44 (1990),Action|Film-Noir|Sci-Fi|Thriller,2580.0
2,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller,2580.0
3,Rogues' Regiment (1948),Action|Adventure|Film-Noir|Thriller|War,2580.0
4,The Day of the Triffids (2009),Action|Horror|Sci-Fi|Thriller,2580.0
5,Hollow Man II (2006),Action|Horror|Sci-Fi|Thriller,2580.0
765,Trainspotting (1996),Comedy|Crime|Drama,2580.0
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,2580.0
1480,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,2580.0
2677,"Sixth Sense, The (1999)",Drama|Horror|Mystery,2580.0
0,Janie Jones (2010),Drama|Musical,2618.0
1,"Great Caruso, The (1951)",Drama|Musical,2618.0
2,Interrupted Melody (1955),Drama|Musical,2618.0
3,Satin Rouge (2002),Drama|Musical,2618.0
4,Fiesta (1947),Musical,2618.0
5,'Round Midnight (1986),Drama|Musical,2618.0
11386,"Departed, The (2006)",Crime|Drama|Thriller,2618.0
523,Schindler's List (1993),Drama|War,2618.0
3918,Snatch (2000),Comedy|Crime|Thriller,2618.0
2458,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,2618.0
0,Dhoom (2004),Action|Crime|Musical|Romance,2640.0
1,Jailhouse Rock (1957),Crime|Drama|Musical|Romance,2640.0
2,Go Into Your Dance (1935),Crime|Drama|Musical|Romance,2640.0
3,I Wake Up Screaming (1941),Crime|Film-Noir|Mystery|Romance|Thriller,2640.0
4,Fallen Angel (1945),Crime|Film-Noir|Mystery|Romance,2640.0
5,Backfire (1950),Crime|Film-Noir|Mystery|Romance|Thriller,2640.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,2640.0
290,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,2640.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2640.0
352,Forrest Gump (1994),Comedy|Drama|Romance|War,2640.0
0,King Creole (1958),Crime|Drama|Musical,2720.0
1,"Cotton Club, The (1984)",Crime|Musical,2720.0
2,Idlewild (2006),Crime|Drama|Musical,2720.0
3,Bugsy Malone (1976),Children|Comedy|Crime|Musical,2720.0
4,"Christmas Toy, The (1986)",Children|Musical,2720.0
5,Teen Beach Movie (2013),Children|Musical,2720.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,2720.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2720.0
13691,Inglourious Basterds (2009),Action|Drama|War,2720.0
1571,"Game, The (1997)",Drama|Mystery|Thriller,2720.0
0,Radioactive Dreams (1985),Action|Comedy|Film-Noir|Musical|Sci-Fi,2745.0
1,Singapore (1947),Action|Adventure|Crime|Film-Noir|Romance,2745.0
