,business_id,name,city
469,cXBB07Kb2TcAuzJTVo9tZw,Sunset Grill,Newmarket
470,hZzwkAJG92KkszWO8PoOQA,Fernando's,Pittsburgh
483,HqerocZHKSRFD8NTrIkbaw,Taxco Mexican Grill,Mint Hill
492,d7iFE8GCz3S8eZGWEQoP6Q,Williams-Sonoma,Scottsdale
494,k2b3niokS_tosjah_rzCPw,Metro Pizza,Las Vegas
495,VxnZy3cU-ItbYiDK5XDX8g,Red Lotus,Richmond Hill
497,X6TvS40bP2cD6ZH4s-5ZKQ,Donna's Diner,Elyria
498,2D2NpSJDyQCBKPRboUcKWQ,Anise Vietnamese Restaurant,Chandler
505,QcUKFdAWxFq42-zE96cS-A,Pita Pit,Indian Trail
506,jdgkNUgWTZ4_vqVHHqFk6g,Tim Hortons,Pickering
507,QS3QxI7u5PRdtbGgI0-UsA,Sakana Sushi & Grill,Scottsdale
509,hFbhRTodMqG2FAf0UWjJQw,The Golden Pheasant,Mississauga
513,ZBE-H_aUlicix_9vUGQPIQ,Hickory Tavern,Charlotte
523,AMN3Sgns9tB2x-b3eWk0qQ,Noodles Ranch,Scottsdale
524,bPBZEDuHbE-I7bxUWIYMhQ,Oishii Sushi,Calgary
530,FjrLNx8eV90VFcy2nb-P_A,Boustan,Kirkland
532,bnfki4LDbHBzZdL5BoLDDw,PhÃ³ Lyn,Calgary
534,yGMCl0vYigshkXiZFIDTNw,Mimi's Cafe,Glendale
536,rwscnQMpddjkVNaJQhNuHw,Birrieria Obregon,Phoenix
537,idF2DJg-WBk4eo2yY_7sHA,Cave Creek Tap Haus,Cave Creek
540,p8u03IURLPg_5jYSY3OmMQ,Farmer Boy,Akron
541,Gj8ANgQ6FcWdhrpEwUsxqQ,El Taino,Cleveland
542,dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,Las Vegas
543,CTN5Z3fs3jFHfyma8XxzVg,Paradise Boba Tea and Smoothie,Las Vegas
544,uNtO37bzsKCHaRUpLm4Qzw,Subway,Surprise
552,iW0_acsRQtjlpE_8O6l1_Q,The Roman Candle Pizzeria,Fitchburg
553,uHSmRkzznq0GpWXWuvzuhw,Noobox,Montreal
563,4buRElPC3-ka-s2q55VVFw,Carolina Beer Company,Charlotte
564,221yaXPE1zmJqDvBVM__tw,Baskin-Robbins,Goodyear
565,3KzzG6dw5aN9eIo3cGHaSA,Steak â€™n Shake,Willoughby
567,brR5W9tv7kwg6ElslwvwKw,My Cheesecake Addiction,Edgemont
571,pvKp4m3eFeHv15kYZaq1Bw,Papa John's,Canonsburd
577,9ELnhtgMF8_h8Zky4A7BSA,Saiken Sushi,MontrÃ©al
579,hOv0yRX4Km89-7vJuzPteg,Spice Cafe,Pittsburgh
584,RGK23CEkDfYHWtUbRhA-bQ,The Turnhouse Grille,Charlotte
593,-bd4BQcl1ekgo7avaFngIw,Eggstasy,Scottsdale
599,cmsAFAymfVoBitSF8R6GKw,Yao Fine Chinese Cuisine,Gilbert
601,R_18EYQLNho8-xH6FTRymw,Long Wong's Famous Wings,Phoenix
602,kExmc2lS8BhFFlh9sjvuSA,The Standard Pizza & Pasta Bar,Toronto
603,MDJqm5KN1hFWm4R2VtNIlw,Waffle House,Pineville
604,Um2H2xUT0eamjN6ivIUAiA,Ben & Jerry's,Davidson
610,M4zq737gzO5GqIk91X0CYw,Joeys of Chicago,Phoenix
618,i68lkBrGgUVwOk-LSvMj_A,Sree's Foods,Pittsburgh
625,f8CST3ex8RlZoZNwBQzMRA,Restaurant Agora Souvlaki,MontrÃ©al
627,ol2r325YnfuHcq7yeO3vdg,Subway,Sun City
630,iag4htR8F7FmE9zpz7_GMw,Levetto,Toronto
632,qxFVwTstR5BuFa4kY50akQ,Swiss Chalet Rotisserie & Grill,Ajax
633,-jdNqqzF1Dbve04oEd4jww,OK OK Diner,Toronto
634,1XZd5hbOdCSaAdx9KdWnrA,Canterbury Booksellers Inn,Madison
635,pRXgWOIiQPEbosMrylsdLA,Chick Rotisserie & Wine Bar,Phoenix
638,xjnjec41ccrs8YxgINEc1A,Minotti's Wine & Liquor,Rocky River
641,N-U0o7hIKy3Z6KY_O4RuPg,PICEA997,Toronto
650,iUWou8115_0y66aJdfxfPg,The Coffee Bean & Tea Leaf,Peoria
651,U9vCFCDQMQ8GFr5z48h8tQ,Nancy B's Bakery,West Homestead
652,q1qjPXe0C2VXTInnWNLudQ,D-Spot Dessert Cafe,Toronto
655,tcT3oHh_dwi_FYhozw3Ibw,Bomberos Cafe & Wine Bar,Phoenix
658,MuDmP50gdV_NYSP2Tb8ZfA,Nortown Meats & Specialities,North York
665,7v-2HkyrfYkPf471v4gCmg,Starbucks,Las Vegas
671,4w-q_Wc77JzQZSIehKFTzA,Brockton Haunt,Toronto
673,9vub2LM7Djy8P-LPumcLXA,Tacos Chiwas,Phoenix
674,r80qDv4gFhnixb2GRUmKeQ,Jet's Pizza,Parma
676,PE6zjI3g0iscqUixA0VZpA,Sammy's World's Greatest Pizza - Braeside Location,Calgary
679,q8MUVVuQpfR6v0HBHmAFxw,The Combine Eatery,Toronto
681,ILA41PhErg4bl1royzDX4g,S & V Urban Italian,Scottsdale
682,q5HePwBjh9xSV9-mYvC5Mg,Pita Paradise,North York
684,UmFty_GxdqVe35apYnmGbw,Showcase Pizza,Pittsburgh
685,HFDZeMrm13xX5yJvpaRaIQ,Even Stevens Sandwiches,Gilbert
686,PvAARwsGKb9BcytkxtNqJQ,La Vida Cocoa Craft Bakery & Cafe,Thornhill
693,hgQOESYp7CF4LnNI90XEiw,800 Degrees,Las Vegas
702,BNDP3up8Ltn7oVXEt4YLqw,Camille By Manon,Las Vegas
704,zUHIDqm_UKdnSygmWKtyRg,Food Lion,Charlotte
706,1nF8Me63cpxIkFK8Ysx-DA,Shabu Shabu Paradise,Henderson
707,8Ig8z08VcW53oMk3R13btA,Tastebuds Popcorn,Charlotte
709,7MssGOl7IeOYCPn6uuSGxw,BÃ¡nh Cuon Thanh TrÃºc,Toronto
712,7gERr4qY9GOIAr8EDFTtvw,Razzleberriez,Surprise
715,QSGerT1enEKlvJnYkwthHQ,Claim Jumper Restaurant & Saloon,Avondale
717,BpJDI4Fj92lLNALQQeLvLg,Slice On Broadway,Pittsburgh
719,_WsGlZnbXBdPcs0qM2Qm7w,Ryan's Pub,Pittsburgh
723,I24pVfCFcQXBU6cbw3cTbA,Marvellous Edibles,East York
724,EJShgTy1lEkp48RLkMt1ag,Jack-In-the Box Drive Thru,Glendale
725,HGc61UN2Gr9RGQXC6mXFNQ,Swirl Wine Bar,Solon
726,nxzyOxgWh5gT_YNbVaBx6A,Nutrition House,Toronto
727,gTIColgrMq27NsSu60iq3g,Frite Alors,MontrÃ©al
732,gU9EIsUkriQzDM91Sv3CtA,Kimchi House,Toronto
733,M9N2eaO8PkT7MHGLLA6V3Q,Panda Express,Tempe
735,GvEjbCm5sNdLZ4fzJ9hvUQ,Bahia De Kino,Mesa
736,Pnj5JxSS2AZS29wRZAC8XA,Tim Hortons,Calgary
745,SAYeaclKsoqMavBfHpvV8Q,York Street Cafe,Toronto
750,JXmYodz9jw1P23Ygx4OZTQ,Sprouts Farmers Market,Peoria
755,gFjHMjQXn5pbObxJupiuPA,Bar Charlie,Las Vegas
756,w8WAt1is16rQUJf2TYefJg,Casa Grecque Pie Ix,Montreal-Nord
757,8wpfZ3zJJ8LKO-z6C8hX-A,Pennylicks Gourmet Cafe,Toronto
764,6T8YFkN7xkGlBfLMqdp28w,Golden Bakeshop,Toronto
765,CGUK3cd2gxp2q3KPY19Oog,Roots Cafe,Charlotte
766,Z3UBeP5EoKIXIDmEdA3JmQ,Big Tuna PokÃ© Bar,Toronto
768,l7RCvKqA61Jzm98gaqIhvw,Brass Taps Pizza Pub,Toronto
770,TNQMnauUy5jposO9P6WcJQ,Farmer Boy Restaurant,Amherst
772,X3s0BN02lS6EigSnJaSyDw,Teriwoki,Las Vegas
776,q4i-GbjeSp6ucBDXGE9DqA,Imsiam Thai Restaurant and Noodle,Las Vegas
779,9ttdN9MIS1j9c8Hp5TmZnw,Baja Fresh,North Las Vegas
784,WZe-1SFcErsOT7gZY_x6wQ,Denny's,Surprise
786,IcHVYlgNGR-Zz8fnceiJ6g,The Monkey Bar,Pittsburgh
788,X2qnigcKuTWL7x9fS2ZUdw,221 Wine Bar,Las Vegas
790,vrSJPjntzfCPgogFPSCHiA,Don Patron,Streetsboro
792,JCMnL6-pbWmG7xSVkdBuoQ,Little Caesars Pizza,Aurora
793,lVAnRardgNKapBd-lyduHw,Gas USA,Cleveland
796,qOuyItOatd-TF5kzhUlA9g,Starbucks,Cave Creek
801,H2Chxto2e6dHTDJ8-s3-pQ,Roberto's Taco Shop,Las Vegas
803,eMSFlZRDLBUWWs93_78xdw,KFC,Mississauga
804,YEsFk6UHqD66O2m5jmXSYg,O'malley's Rockcliff,Rocky River
805,7CVoVNkEAremQ7JTjx_02A,Nutrition 51,Phoenix
809,ncXQtqJT5Gk1QztwTrBrgw,New York Bagels 'N Bialys,Scottsdale
811,aXsmmtepl0JZNcl3pkXqww,Sacks Sandwiches - Hardy,Tempe
815,DZkVWxknDUuWX0-wmtGhQw,Deli Pizza Cafe,Las Vegas
816,2E57EmAD7qdfS1NL8_EfMQ,Buscemis Pizza,Cornelius
820,pDMxIQoqkZJeUe2r8XIVKQ,Kim Dinh,Markham
821,RJdSwvgAd2TRdQw4iOsrag,CafÃ© Mezcal,MontrÃ©al
824,jwRBWbgTuiaQUrv-FpT8uw,Foote's Valley Farm,Valley View
831,QPpptKYmU3fZMi_JsUf4qg,Pizza Depot,Brampton
837,rGdaD3j8leOCI0zz3g5Beg,Steves New York Hotdog Shop,Pittsburgh
841,I4ADugPUJJQJElQekgnY0Q,Restaurant le Cactus,MontrÃ©al
842,oWEFIvvt_kJCuk2V268XeQ,Summit Garden Chinese,Mississauga
846,j1-t7dIoGgzgcmotB7pkOg,Teacup,Litchfield Park
849,_9u7I2RN0NEJnWaP2zhWsQ,Paciugo Gelato,Phoenix
851,RbZK0G5GJtcXNIXYRB9pzQ,Fresh & Easy,Chandler
856,1RKSuFsvxZ0KiFfMpX3YZA,Bliss & Co.,Calgary
859,VE8BouWadOixfUIljcdSZg,Aqua Lunch Eaton,MontrÃ©al
861,cMK38jKxH8x5PvFfAfjZmA,Casa Flores Restaurant,Boulder City
862,SGPjYRy6x7R5ZlGa_nrskg,Ranch House Kitchen,Las Vegas
866,WOQNQx7SrMalJMXFENitpg,Ravi Soup,Toronto
869,mk7xgXuTVMfv4sH7GD2SoA,Green Grotto,Mississauga
873,VVLGIq6ksrgGSfi7VBTmpg,America Cafe,Las Vegas
875,FKQUxOfW_W5R4OTut4G1Vw,Peppi's,Pittsburgh
877,aRNjAsmXv1pJTUWTtI7xlw,Superpumper,Scottsdale
878,c_FTil8s5PS2l_YJDQAXhA,Hogtown Pub & Oysters,Toronto
890,NbjeMaUoYT_XUB8PWnwLkw,Pizza Pan,Cleveland
891,9B2kV3k4t72mr-o4Ry_soQ,Athens Pastries,Toronto
896,Yw-R7D38MuDFNNcL6i-0Ww,Thai Fusion Delight,Calgary
897,MrqG_TzPLMRrob--EHNdOw,Margo's,Toronto
901,U8Uecw7AZPMuA4fkKbEd1A,Pita Pit,Mississauga
906,U50YoWOEmagNix2sbD-yMg,Chez Cora,MontrÃ©al
909,DJTp8_qFr1mU_HMvvhk8Bw,Culinaria Restaurant,Mississauga
912,F5arCcVW_mjFWbgJbWYO-Q,Dutch Bros Coffee,Scottsdale
913,P-na-PyTJTL-uZ15vEg6zA,Mornin' Moonshine,Phoenix
914,2W3If040rgz34_ZO3c_SxA,Boston Pizza,North York
917,uwpPniaFEVkK5T_PWdQZ0A,Le Peep,Charlotte
920,COExayvsDDJOjWTOFZ7a4A,Panafest,Toronto
922,s-lwOqEEWb_peWh8DhhWUg,Market On Broadway IGA,Pittsburgh
926,0WAL6O1YvcJbeDRYeRm34w,The Cove Trattoria,Paradise Valley
928,-pKhASvKFolihdipQfQXyA,Rally's,Elyria
929,yKpdzrqe_qIbu9dB6bj9Gg,PGA Tour Grill,Las Vegas
930,HxUD_4GpOInD-mXIppZiZA,NutriShop,Tempe
933,kKTXiGVLEVpPA7r2R6baVw,Uncle Joe's Bar & Grill,Parma Heights
936,q-DeyxfDo3AFjmghv5Gm1g,Shalom India,Vaughan
937,cs1qJvnWUg_f8g020z_3PQ,Pizzeria Bianco,Phoenix
939,YfuL93FEOMxevS_ij8HyDg,Guys Pizza,Eastlake
941,lXCmTGagqHuPgaeN2g2P1Q,Marcos Pizza,Las Vegas
949,Idk-QTyUZq9w0ALh5cyvrw,Pizza Pizza,Toronto
951,0txNpCq2YunZSL7jHIiGlA,Lardon Restaurant,Toronto
955,qL2LoSauX4IG2KHtQevFUw,Lucky Lin's Restaurant,Toronto
957,Gp8_vPUZBncqy4Fwc8ga7A,Go Pretzel,Pittsburgh
962,9E1q2uEMd881wnruicNTUA,Buffalo Wild Wings,Scottsdale
963,fZ5jJ_TOJHeaRi5UBdRvYw,Soup It Up,Toronto
968,nxeeZnumQkrEFORtFpwSvA,Tavern In The Wall,Pittsburgh
983,BxRsg5YTYnxXEhoGcabydg,Wandering Donkey,Cave Creek
986,TreYsBGjXptogQQmQh1-bg,Showmars - Seventh Street,Charlotte
987,Ycp3Agr7dt71TZkeKV7jng,Le Gourmand,Toronto
998,-DXRTcIIFSDFaec9SozG3A,Ayo Restaurant,MontrÃ©al
1000,6KgGE8B1RsR7jc9R5nuH0Q,Ruby Tuesday,Tempe
1001,emyCP3Ry2SbpNrwRAtm9PQ,Pyung Won House,North York
